step,time,loss,lr
278,26.07968783378601,5.9176177978515625,2.7438621323113602e-05
279,26.167149782180786,5.426168441772461,2.7406731260682044e-05
280,26.256101369857788,5.331170082092285,2.737472944237469e-05
281,26.34803795814514,6.521450996398926,2.734261621815829e-05
282,26.430607795715332,5.384884357452393,2.7310391939217922e-05
283,26.511147499084473,5.660052299499512,2.7278056957953137e-05
284,26.587621688842773,5.829119682312012,2.724561162797411e-05
285,26.675949335098267,5.881773948669434,2.7213056304097772e-05
286,26.762213706970215,5.676938533782959,2.7180391342343928e-05
287,26.835085153579712,5.653909683227539,2.7147617099931365e-05
288,26.91607141494751,5.645261764526367,2.7114733935273953e-05
289,26.997456550598145,5.414013385772705,2.708174220797671e-05
290,27.07408881187439,5.490449905395508,2.704864227883187e-05
291,27.145639896392822,5.414503574371338,2.7015434509814967e-05
292,27.225878715515137,5.605779647827148,2.6982119264080843e-05
293,27.30592679977417,5.803558826446533,2.694869690595968e-05
294,27.395245790481567,5.8767619132995605,2.691516780095304e-05
295,27.479157209396362,5.736997604370117,2.688153231572983e-05
296,27.55995488166809,5.947516441345215,2.6847790818122344e-05
297,27.643872261047363,5.74018669128418,2.6813943677122185e-05
298,27.722851991653442,5.708550453186035,2.6779991262876265e-05
299,27.809449911117554,5.493137359619141,2.674593394668275e-05
300,27.89889931678772,5.810837745666504,2.6711772100986985e-05
301,27.976232767105103,5.476070880889893,2.667750609937745e-05
302,28.044679880142212,5.5434064865112305,2.664313631658164e-05
303,28.137388229370117,5.570797443389893,2.6608663128462006e-05
304,28.21570062637329,5.881336212158203,2.65740869120118e-05
305,28.289565801620483,5.7518205642700195,2.653940804535099e-05
306,28.36236071586609,5.250988960266113,2.6504626907722107e-05
307,28.43908977508545,5.831007957458496,2.6469743879486096e-05
308,28.52208137512207,5.697705268859863,2.643475934211816e-05
309,28.59826946258545,5.464274883270264,2.63996736782036e-05
310,28.667148113250732,5.583828926086426,2.636448727143362e-05
311,28.7472882270813,5.679515838623047,2.632920050660112e-05
312,28.821105241775513,5.448447227478027,2.6293813769596515e-05
313,28.907098293304443,6.208926200866699,2.6258327447403483e-05
314,28.990545988082886,5.84815788269043,2.6222741928094764e-05
315,29.065427541732788,5.60997200012207,2.618705760082789e-05
316,29.148882389068604,5.457381248474121,2.6151274855840952e-05
317,29.220693111419678,5.318039894104004,2.611539408444831e-05
318,29.293094873428345,5.738929271697998,2.607941567903634e-05
319,29.363884925842285,6.216920852661133,2.6043340033059114e-05
320,29.439374208450317,5.525321006774902,2.6007167541034116e-05
321,29.519842386245728,5.53184700012207,2.5970898598537926e-05
322,29.60159945487976,5.884888648986816,2.5934533602201886e-05
323,29.676032304763794,5.733011245727539,2.5898072949707773e-05
324,29.75162172317505,5.744936943054199,2.5861517039783436e-05
325,29.833658695220947,5.751509666442871,2.5824866272198457e-05
326,29.924962520599365,5.808356285095215,2.5788121047759748e-05
327,30.010518789291382,5.6506500244140625,2.5751281768307205e-05
328,30.080211639404297,5.458852767944336,2.5714348836709286e-05
329,30.15219020843506,5.493805408477783,2.5677322656858607e-05
330,30.251002073287964,5.388051986694336,2.564020363366754e-05
331,30.325345516204834,5.704490661621094,2.5602992173063783e-05
332,30.396544218063354,5.447355270385742,2.55656886819859e-05
333,30.464319467544556,5.457414627075195,2.5528293568378896e-05
334,30.537614822387695,6.385972499847412,2.549080724118974e-05
335,30.622089862823486,5.301681995391846,2.5453230110362905e-05
336,30.693190097808838,5.591547012329102,2.5415562586835868e-05
337,30.783339023590088,5.517694473266602,2.5377805082534633e-05
338,30.87342667579651,5.2475433349609375,2.5339958010369218e-05
339,30.978142261505127,5.83176851272583,2.5302021784229144e-05
340,31.05714988708496,5.257594108581543,2.5263996818978894e-05
341,31.145351886749268,5.287154197692871,2.5225883530453403e-05
342,31.237881660461426,5.453699111938477,2.5187682335453487e-05
343,31.332194805145264,6.009431838989258,2.5149393651741296e-05
344,31.406394243240356,5.001704692840576,2.5111017898035736e-05
345,31.487383604049683,5.2124481201171875,2.50725554940079e-05
346,31.57700800895691,6.1175537109375,2.503400686027648e-05
347,31.651402711868286,5.124817848205566,2.4995372418403157e-05
348,31.727468729019165,5.503066539764404,2.4956652590888002e-05
349,31.804967403411865,5.962209701538086,2.4917847801164838e-05
350,31.87624430656433,5.472225189208984,2.487895847359663e-05
351,31.96419858932495,5.681056022644043,2.483998503347084e-05
352,32.05717325210571,5.9545135498046875,2.4800927906994754e-05
353,32.13857555389404,5.637290000915527,2.476178752129086e-05
354,32.20931887626648,5.6003217697143555,2.472256430439214e-05
355,32.28261160850525,5.843628883361816,2.4683258685237413e-05
356,32.36713171005249,5.4587812423706055,2.464387109366663e-05
357,32.44734001159668,5.4350972175598145,2.4604401960416185e-05
358,32.5207405090332,5.241091251373291,2.4564851717114195e-05
